Brand,Redeemed,Clipped,B/C -->,PercentCouponClipped,C/C40 -->,PercentTotalClipped,B/B40 -->,PercentTotalRedeemed
Best Choice,11219,426545,2.630203144,38.01987699,0.694645524,0.694645524,0.545061458,0.545061458
FIORA,3253,31158,10.44033635,9.578235475,0.050742044,0.050742044,0.158043045,0.158043045
Stouffers,236,30578,0.771796717,129.5677966,0.049797491,0.049797491,0.011465773,0.011465773
Best Choice Superior Selections,219,21664,1.010893648,98.92237443,0.035280687,0.035280687,0.010639848,0.010639848
Hidden Valley Ranch packets,262,11916,2.198724404,45.48091603,0.019405681,0.019405681,0.012728951,0.012728951
Hot Pockets,347,10838,3.20169773,31.23342939,0.017650115,0.017650115,0.016858573,0.016858573
Clearly by Best Choice,67,10125,0.661728395,151.119403,0.016488966,0.016488966,0.003255113,0.003255113
Tombstone,788,8525,9.24340176,10.81852792,0.013883302,0.013883302,0.038284021,0.038284021
Jacks,608,8350,7.281437126,13.73355263,0.013598308,0.013598308,0.02953894,0.02953894
DiGiorno,310,8157,3.80041682,26.31290323,0.013283999,0.013283999,0.015060973,0.015060973
Lean Cuisine,165,6934,2.379578887,42.02424242,0.011292295,0.011292295,0.008016324,0.008016324
Chobani,93,5425,1.714285714,58.33333333,0.008834829,0.008834829,0.004518292,0.004518292
Lunchables,585,5083,11.50895141,8.688888889,0.008277868,0.008277868,0.028421513,0.028421513
Boston Market,198,4467,4.432505037,22.56060606,0.007274687,0.007274687,0.009619589,0.009619589
Clorox,2,3744,0.053418803,1872,0.006097253,0.006097253,9.71676E-05,9.71676E-05
JIF,883,3467,25.46870493,3.926387316,0.005646148,0.005646148,0.04289948,0.04289948
Life Cuisine,11,2732,0.402635432,248.3636364,0.004449171,0.004449171,0.000534422,0.000534422
Pillsbury,260,2604,9.984639017,10.01538462,0.004240718,0.004240718,0.012631784,0.012631784
Atkins,121,2494,4.851643945,20.61157025,0.004061578,0.004061578,0.005878638,0.005878638
Hostess,261,2199,11.86903138,8.425287356,0.003581159,0.003581159,0.012680367,0.012680367
Quest,7,1636,0.427872861,233.7142857,0.002664291,0.002664291,0.000340086,0.000340086
Tropicana,220,1600,13.75,7.272727273,0.002605664,0.002605664,0.010688432,0.010688432
Kellogg's,164,1417,11.57374735,8.640243902,0.002307641,0.002307641,0.00796774,0.00796774
Old Orchard,212,801,26.46691635,3.778301887,0.00130446,0.00130446,0.010299762,0.010299762
Fresh Step,13,665,1.954887218,51.15384615,0.001082979,0.001082979,0.000631589,0.000631589
Charmin,4,304,1.315789474,76,0.000495076,0.000495076,0.000194335,0.000194335
Bounty,2,242,0.826446281,121,0.000394107,0.000394107,9.71676E-05,9.71676E-05
LIFE OR CAP'N CRUNCH,13,125,10.4,9.615384615,0.000203567,0.000203567,0.000631589,0.000631589
Pampers,0,106,0,0,0.000172625,0.000172625,0,0
Quaker,1,80,1.25,80,0.000130283,0.000130283,4.85838E-05,4.85838E-05
CHEEZ-IT ,3,29,10.34482759,9.666666667,4.72277E-05,4.72277E-05,0.000145751,0.000145751
Nabisco,10,28,35.71428571,2.8,4.55991E-05,4.55991E-05,0.000485838,0.000485838
HEALTHY CHOICE,0,3,0,0,4.88562E-06,4.88562E-06,0,0
RED GOLD ,0,2,0,0,3.25708E-06,3.25708E-06,0,0
INTERNATIONAL DELIGHT OR DUNKIN' DONUT COFFEE CREAMER,0,2,0,0,3.25708E-06,3.25708E-06,0,0
Metamucil,0,2,0,0,3.25708E-06,3.25708E-06,0,0
HORMEL CHILI,46,0,0,0,0,0,0.002234854,0.002234854
,,,,,,,,
Totals,20583,614047,,,,,,
